STT,Mã khách hàng,Tên khách hàng,Địa chỉ,"Nhóm KH, NCC",Mã số thuế,Điện thoại,Ngừng theo dõi,
25,4001,CÔNG TY CỔ PHẦN CHUÔNG VÀNG,"108 Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,0303584001,,FALSE,
26,7551,CÔNG TY CỔ PHẦN VẬN TẢI LONG LỘC,"69/1 ấp Đông, Xã Thới Tam Thôn, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",,0303847194,,FALSE,
27,7567,CÔNG TY CỔ PHẦN GIAO NHẬN TIẾP VẬN QUỐC TẾ,"Tầng 5, Tòa nhà Cảng Sài Gòn, Số 3 Nguyễn Tất Thành, Phường Xóm Chiếu, Thành phố Hồ Chí Minh, Việt Nam.",,0303957341,,FALSE,
28,2961,CÔNG TY TNHH DSV SOLUTIONS,"Tầng 3 Tòa nhà Republic Plaza, số 18E đường Cộng Hòa, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,0304182961,,FALSE,
29,0326,CÔNG TY CỔ PHẦN QH PLUS,"129 Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0304300326,,FALSE,
30,1885,CÔNG TY TNHH 86 DH VINA,"Số N7, Đường Cư xá Tân Cảng, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0304401885,,FALSE,
31,KH00026,CÔNG TY CHO THUÊ TÀI CHÍNH TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN QUỐC TẾ CHAILEASE,"Tầng 28, cao ốc Saigon Trade Centre, số 37 Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,0304738328,,FALSE,
32,KH00072,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU ĐOÀN GIA,"N7 Cư xá Tân Cảng, Đường Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0304835346,,FALSE,
33,KH00037,CÔNG TY CỔ PHẦN LOGISTICS HÓA CHẤT XANH,"13 Đường DC3, Phường Sơn Kỳ, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",,0305220017,,FALSE,
34,7554,CÔNG TY TNHH CƠ ĐIỆN HỮU PHÁT,"63 Nguyễn Hữu Tiến, Phường Tây Thạnh, Thành phố Hồ Chí Minh, Việt Nam.",,0305799330,,FALSE,
35,KH00009,CÔNG TY TRÁCH NHIỆM HỮU HẠN CON CÒ VÀNG,"23 Lô B Đường Số 1, Phường Phú Thuận, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,0305995751,,FALSE,
36,5194,CÔNG TY TNHH MỘT THÀNH VIÊN CƠ KHÍ SẢN XUẤT THƯƠNG MẠI NGHĨA THÀNH,"A3/1A  Lê Văn Việt, Tổ 3, Khu phố 2, Phường Tăng Nhơn Phú A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0308295194,,FALSE,
37,7558,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KIM LỢI,"36 Đường Tam Bình, Phường Hiệp Bình, Thành phố Hồ Chí Minh, Việt Nam.",,0309129986,,FALSE,
38,0708,CÔNG TY TNHH GIẢI PHÁP VẬT LIỆU XÂY DỰNG,"129 Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0309810708,,FALSE,
39,4828,CÔNG TY CỔ PHẦN MENTO,"162/64 Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,0310084828,,FALSE,
40,7523,CÔNG TY CỔ PHẦN NĂNG LƯỢNG XANH TOÀN CẦU,"162/64 Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,0310091462,,FALSE,
41,KH00023,CÔNG TY TNHH KUMKANG KIND VIỆT NAM,"Tòa nhà Beautiful Sài Gòn (lô Cr3-3), số 2 Nguyễn Khắc Viện, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,0310177335,,FALSE,
42,KH00020,CHI NHÁNH NHÀ MÁY NHƠN TRẠCH - CÔNG TY TNHH KUMKANG KIND VIỆT NAM,"Đường Tôn Đức Thắng, Khu công nghiệp Nhơn Trạch I, Xã Phước Thiền, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,0310177335002,,FALSE,
43,1328,CÔNG TY TNHH PHÁT TRIỂN XÂY DỰNG I-TECH,"Lầu 2, Tòa nhà Green Country, số 1 đường 81, Phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,0310481328,,FALSE,
44,7550,CÔNG TY CỔ PHẦN THÉP NHÂN LUẬT MIỀN NAM,"100/3 Tô Ngọc Vân, phường Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,0310940356,,FALSE,
45,KH00015,CÔNG TY TNHH MỘT THÀNH VIÊN CỬA VÀ CỬA SỔ MORE THAN GOLD,"647 Quốc lộ 13, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0311020513,,FALSE,
46,4956,CÔNG TY TNHH KỸ THUẬT NEW SUN VIỆT NAM,"Số 28 Đường 15B, Khu phố 6, Phường Phước Long B, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0311624956,,FALSE,
47,7557,CÔNG TY TNHH SUNSTARTECH,"Tầng 2, Tòa nhà H&N, Số 151 Trần Trọng Cung, Phường Tân Thuận, Thành phố Hồ Chí Minh, Việt Nam.",,0311933922,,FALSE,
48,7574,CÔNG TY CỔ PHẦN GIAO NHẬN VẬN TẢI THUẬN PHONG,"P.4.27,Tầng 4, C/c cao tầng kết hợp TMDV, 290 An Dương Vương, Phường Chợ Quán, Thành phố Hồ Chí Minh, Việt Nam.",,0312038383,,FALSE,
49,5928,CÔNG TY TNHH THÁI THỤC ANH,"23/31 Đường C1, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,0312445928,,FALSE,
50,KH00021,CÔNG TY TNHH NT INDEC,"136A đường Tây Hòa, Phường Phước Long A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0312520999,,FALSE,
51,7787,CÔNG TY CỔ PHẦN SIBARI,"39 đường 17, khu phố 4, Phường Tân Thuận Tây, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,0312897787,,FALSE,
52,9063,CÔNG TY TNHH E-HO GLOBAL,"85 Nguyễn Sơn, Phường Phú Thạnh, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",,0312959063,,FALSE,
53,2490,CÔNG TY CỔ PHẦN HOMEMAS,"Lầu 3, 129 Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0313192490,,FALSE,
54,6516,CÔNG TY TNHH KINH DOANH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHÂU THIÊN HÀ,"100C Lê Văn Duyệt, Phường 1, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0313246516,,FALSE,
55,KH00008,CÔNG TY TNHH THƯƠNG MẠI HUỆ THÀNH,"147-149 Đường số 5, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,0313363724,,FALSE,
56,KH00018,CÔNG TY TNHH THƯƠNG MẠI VÀ VẬN TẢI AN PHA TRẦN,"5-7 Hoàng Việt, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,0313384770,,FALSE,
57,8147,CÔNG TY CỔ PHẦN QUỐC TẾ ANH VĂN HỘI VIỆT MỸ,"189 Nguyễn Thị Minh Khai, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,0313548147,,FALSE,
58,KH00030,CÔNG TY TNHH THW.VN,"120-122 Đường Hà Huy Tập, Nam Long 1, KDT Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,0313712164,,FALSE,
