STT,Mã khách hàng,Tên khách hàng,Địa chỉ,"Nhóm KH, NCC",Mã số thuế,Điện thoại,Ngừng theo dõi,
114,4336,CÔNG TY CỔ PHẦN GỐM SỨ GRANITE VTC,"Lô V8, Đường số 8, Khu Công nghiệp Mỹ Xuân B1-Conac, Phường Mỹ Xuân, Thị Xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",,3502354336,,FALSE,
115,7490,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG ANT,"Số 62 Võ Văn Tần, Phường Thắng Nhất, Thành Phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",,3502405069,,FALSE,
116,7534,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN CÔNG NGHIỆP YOODAU VIỆT NAM,"Tổ 8, ấp 3, Xã Phước Bình, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3502473661,,FALSE,
117,7546,CÔNG TY TNHH HS HYOSUNG VINA CORE MATERIALS,"Lô B7, Đường N2, Khu Công Nghiệp Phú Mỹ II, Phường Tân Phước, Thành phố Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",,3502508554,,FALSE,
118,KH00063,CÔNG TY CỔ PHẦN HỮU HẠN VEDAN VIỆT NAM,"Quốc lộ 51, ấp 1A, Xã Phước Thái, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3600239719,,FALSE,
119,2843,CÔNG TY TNHH HỒNG HÀ,"Tổ 4, ấp Bưng Cơ, Xã Lộc An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3600272843,,FALSE,
120,9477,CÔNG TY DÂY DẪN KIM LOẠI VIỆT NAM,"Tổ 5, ấp Hiền Đức, Xã Phước Thái, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3600359477,,FALSE,
121,7489,TRƯỜNG CAO ĐẲNG CÔNG NGHỆ CAO ĐỒNG NAI,"Số 47, đường Tôn Đức Thắng, Khu Phước Hải, Thị trấn Long Thành, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3600417489,,FALSE,
122,7575,CÔNG TY CỔ PHẦN Ô TÔ ĐÔ THÀNH,"Ấp Đất Mới, Quốc lộ 51, Xã Long Phước, Tỉnh Đồng Nai, Việt Nam.",,3600521183,,FALSE,
123,6590,CÔNG TY TNHH HWASEUNG VINA,"KCN Nhơn Trạch 1, Xã Phú Hội, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3600526590,,FALSE,
124,7508,CÔNG TY TRÁCH NHIỆM HỮU HẠN KOSTEEL VINA.,"KCN Nhơn Trạch II, Xã Phú Hội, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3600591021,,FALSE,
125,6704,CÔNG TY TRÁCH NHIỆM HỮU HẠN CÔNG NGHIỆP SWAN VIỆT NAM,"Đường số 3, KCN Nhơn Trạch I, Xã Phước Thiền, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3600606704,,FALSE,
126,KH00060,CÔNG TY TRÁCH NHIỆM HỮU HẠN CHIG FENG,"KCN Nhơn Trạch II, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3600617858,,FALSE,
127,1186,CÔNG TY TNHH CÔNG NGHIỆP TBD NHƠN TRẠCH,"Khu công nghiệp Nhơn Trạch 1, Tỉnh lộ 319, Xã Phước Thiền, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3600631186,,FALSE,
128,1963,CÔNG TY TNHH TM-DV-SX CƠ KHÍ THANH ÂN,"Số 120, Đinh Bộ Lĩnh, Tổ 1, ấp Hàng Gòn, Xã Lộc An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3600641963,,FALSE,
129,KH00042,CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 2 ĐỒNG NAI,"Số 643, Xa Lộ Hà Nội, KP 2, Phường Long Bình, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3600653422,,FALSE,
130,KH00024,CÔNG TY TRÁCH NHIỆM HỮU HẠN QUỐC TẾ KIM BẢO SƠN (VIỆT NAM),"Đường số 01, KCN Long Thành, Xã Tam An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3600672150,,FALSE,
131,KH00061,CÔNG TY TNHH H.A.V.A.S,"Số D390, tổ 3, KP 4, Phường Long Bình, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3600674849,,FALSE,
132,KH00003,CÔNG TY TRÁCH NHIỆM HỮU HẠN FINE CABLE VINA,"Đường số 2, Khu công nghiệp Nhơn Trạch 1, Xã Phước Thiền, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3600685382,,FALSE,
133,2809,CÔNG TY CỔ PHẦN DIC - ĐỒNG TIẾN,"Lô 17, khu công nghiệp Nhơn Trạch 2, Tỉnh lộ 25B, Xã Phú Hội, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3600692809,,FALSE,
134,7562,CÔNG TY TRÁCH NHIỆM HỮU HẠN KUM YOUNG VINA,"Đường số 8, KCN Long Thành, Xã An Phước, Tỉnh Đồng Nai, Việt Nam.",,3600724458,,FALSE,
135,6575,CÔNG TY TNHH WHITE GLOVE,"Đường số 2, KCN Nhơn Trạch I, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3600726575,,FALSE,
136,KH00006,CHI NHÁNH CÔNG TY TNHH ĐIỆN CƠ TECO (VIỆT NAM) TẠI BÌNH DƯƠNG,"Lô A_7B, Khu công nghiệp Mỹ Phước 3, Phường Thới Hòa, Thị Xã Bến Cát, Tỉnh Bình Dương, Việt Nam",,3600729671-003,,FALSE,
137,KH00005,CÔNG TY CỔ PHẦN CẤU KIỆN BÊ TÔNG NHƠN TRẠCH 2,"Số 1, Khu công nghiệp Nhơn Trạch 2, đường 25B, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3600810322,,FALSE,
138,KH00081,CÔNG TY TNHH KIM HỒNG LONG,"ấp Đất Mới, Xã Long Phước, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3600954469,,FALSE,
139,KH00040,CÔNG TY TNHH QUỐC TẾ XIN GUAN XING VIỆT NAM,"ấp 8, Đường 769, Cụm Công nghiệp Bình Sơn, Xã Bình Sơn, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3600958953,,FALSE,
140,KH00004,CÔNG TY TNHH PONAFLEX VIỆT NAM,"Đường số 5, Khu Công nghiệp Long Thành, Xã Tam An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3601065938,,FALSE,
141,KH00007,CÔNG TY CỔ PHẦN VẬT LIỆU XÂY DỰNG THẾ GIỚI NHÀ,"Số 1, KCN Nhơn Trạch 2, Đường 25B, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3601164495,,FALSE,
142,7538,HỢP TÁC XÃ RAU HẢI SƠN,"Tổ 21, Khu Kim Sơn, Thị trấn Long Thành, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3601165386,,FALSE,
143,KH00053,CÔNG TY CỔ PHẦN  ĐẦU TƯ VÀ XÂY DỰNG VIỆT KIẾN MINH,"Số 19, Đường D1, KP 7, Phường Thống Nhất, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3601808559,,FALSE,
144,6984,CÔNG TY TRÁCH NHIỆM HỮU HẠN WISE CREATION,"Cụm Công Nghiệp Bình Sơn, Xã Bình Sơn, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3602046984,,FALSE,
145,KH00071,CÔNG TY TNHH MỘT THÀNH VIÊN KHÁNH VY TRẦN,"Tổ 17, Khu Phước Hải, Thị trấn Long Thành, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3602168559,,FALSE,
146,7561,CHI NHÁNH NHÀ MÁY XỬ LÝ CHẤT THẢI NGUY HẠI VÀ CHẤT THẢI RẮN SINH HOẠT- CÔNG TY CỔ PHẦN TM TÀI TIẾN,"Ấp Nhân Hòa, Xã Hưng Thịnh, Tỉnh Đồng Nai, Việt Nam.",,3602168686-001,,FALSE,
147,8296,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ KHẢ LỢI,"Số 66, tổ 3, ấp Sa Cá, Xã Bình An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3602268296,,FALSE,
148,7529,TRƯỜNG TIỂU HỌC LỘC AN,"ấp Bình Lâm, Xã Lộc An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3602361337,,FALSE,OK SÀI MÃ NÀY CHÍNH
150,9888,CÔNG TY TNHH SOLTEC VIỆT NAM,"Đường số 2, Khu Công nghiệp Nhơn Trạch 3 - Giai đoạn 2, Xã Long Thọ, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3602379888,,FALSE,
151,1204,CÔNG TY TNHH  ĐÔNG HẠ,"Tổ 14, khu Phước Hải, Thị trấn Long Thành, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3602391204,,FALSE,
152,KH00067,CÔNG TY CỔ PHẦN HÓA PHẨM TÙNG VIỆT,"Đường số 7, khu công nghiệp Nhơn Trạch II, Nhơn Phú, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3602483670,,FALSE,
153,7498,CÔNG TY CỔ PHẦN DÂY VÀ CÁP SACOM,"Đường số 4, khu công nghiệp Long Thành, Xã Tam An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3602502436,,FALSE,
154,KH00073,CÔNG TY TNHH XUẤT NHẬP KHẨU VI NA ĐẠI VIỆT,"Số 292, Đường Võ Thị Sáu, KP 7, Phường Thống Nhất, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3602576702,,FALSE,
155,KH00019,CÔNG TY TNHH JFE MECHANICAL VIÊÊT NAM,"Đường số 02, KCN Nhơn Trạch 3 - giai đoạn 2, Xã Long Thọ, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3602590993,,FALSE,
156,3358,CÔNG TY TRÁCH NHIỆM HỮU HẠN VINA TAK,"Đường 4B, KCN Nhơn Trạch 1, Xã Phú Hội, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3602703358,,FALSE,
157,3839,CÔNG TY CỔ PHẦN CÔNG NGHIỆP QH PLUS,"KCN Dệt May Nhơn Trạch, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3602713839,,FALSE,CÓ CN KO XÓA ĐƯỢC
158,KH00068,CÔNG TY CỔ PHẦN CÔNG NGHIỆP QH PLUS,"KCN Dệt May Nhơn Trạch, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3602713839,,FALSE,OK SÀI MÃ NÀY CHÍNH
159,KH00050,CÔNG TY TNHH IMPACK VIỆT NAM,"Đường số 6, Khu Công nghiệp Long Thành, Xã Tam An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3602987766,,FALSE,
160,8941,CÔNG TY TNHH KATOEN NATIE VIỆT NAM,"KCN An Phước, Xã An Phước, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603068941,,FALSE,
161,8282,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ VẬN TẢI ĐỨC TÀI,"Tổ 4, ấp Xóm Gốc, Xã Long An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603138282,,FALSE,
162,KH00085,CÔNG TY TNHH TORRECID VIỆT NAM,"Khu Công nghiệp Long Thành, Xã Tam An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603153435,,FALSE,
163,KH00002,CÔNG TY TNHH FOUR NINE,"KCN An Phước, Xã An Phước, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603154076,,FALSE,
164,KH00028,CÔNG TY TNHH SURMAN VIỆT NAM,"Lô L, KCN Lộc An, Bình Sơn, Xã Long An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603186688,,FALSE,
165,7511,CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI BẢO BÌNH PHÁT,"Số 6/14, ấp 2, Xã Long An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603207962,,FALSE,
166,KH00059,CÔNG TY TNHH MỘT THÀNH VIÊN VẬN TẢI HOÀNG PHÚ LONG,"Số 216, Tổ 4, ấp 7, Xã Bình Sơn, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603231556,,FALSE,
167,KH00048,CÔNG TY TNHH DAE JAE VIỆT NAM,"Đường N2, KCN Nhơn Trạch V, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603271478,,FALSE,
168,5255,CÔNG TY CỔ PHẦN TẬP ĐOÀN KKS,"(Nằm trong CTCP Khải Toàn), Lô 33, Đường số 7, KCN Tam Phước, Phường Tam Phước, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3603355255,,FALSE,
169,7525,CÔNG TY TNHH WEB-PRO (VIETNAM),"Đường số 8, KCN Nhơn Trạch III - Giai đoạn 2, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603357213,,FALSE,
170,7513,CÔNG TY TNHH MỘT THÀNH VIÊN THIẾT KẾ XÂY DỰNG ĐÌNH BÁCH,"G7, KP 7, Phường Tân Phong, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3603360431,,FALSE,
171,KH00087,CÔNG TY TNHH ASSEMS VN,"Đường số 1, KCN Long Thành, Xã Tam An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603384584,,FALSE,
172,KH00077,CÔNG TY TNHH MỘT THÀNH VIÊN VẬN TẢI LÊ HƯNG,"Tổ 2, ấp 3, Xã Long An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603387271,,FALSE,
173,6437,CÔNG TY TNHH HS POLYTECH,"Đường số 2, KCN Nhơn Trạch 1, Xã Phước Thiền, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603416437,,FALSE,
174,KH00047,CÔNG TY TNHH QUỐC TẾ EVER GROWTH (VIỆT NAM),"KCN Long Khánh, Xã Bình Lộc, Thành phố Long Khánh, Tỉnh Đồng Nai, Việt Nam",,3603417984,,FALSE,
175,KH00074,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ HA MINH,"Tổ 5, ấp 3, Xã Long An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603419237,,FALSE,
176,KH00070,CÔNG TY TNHH GST VIỆT NAM,"Nhà xưởng 27, đường 9-7 (cụm xưởng giai đoạn 3), KCN Long Th, Xã Tam An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603432453,,FALSE,
177,8809,CÔNG TY TNHH TƯ VẤN XÂY DỰNG VÀ THƯƠNG MẠI KIẾN AN,"Tổ 3, ấp 3, Xã Long Thọ, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603448809,,FALSE,
178,7549,CÔNG TY TNHH PHÂN PHỐI TRỌNG PHAN,"Số 21/9, tổ 3, ấp Bến Sắn, Xã Phước Thiền, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603453580,,FALSE,
179,7524,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ KỸ THUẬT CƠ ĐIỆN TÂN THỊNH PHÁT,"306/89/2, khu phố 10, Phường Hố Nai, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3603465667,,FALSE,
180,KH00076,CÔNG TY TNHH HOÀNG TIẾN LINH,"Số 16A, Phan Đăng Lưu, Kp 7, Phường Long Bình, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3603473114,,FALSE,
181,KH00011,CÔNG TY TNHH TK P&S VINA,"Lô N1, Khu Công nghiệp Lộc An, Bình Sơn, Xã Long An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603474929,,FALSE,
182,KH00014,CÔNG TY CỔ PHẦN SIÊU THỊ VẬT LIỆU XÂY DỰNG THẾ GIỚI NHÀ,"46-48 Nguyễn Cơ Thạch, Phường An Lợi Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,3603497972,,FALSE,
183,KH00017,CÔNG TY TNHH KPX VINA,"Lô 10, đường số 3, KCN Gò Dầu, Xã Phước Thái, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603516329,,FALSE,
184,KH00010,CÔNG TY TNHH SUNHILL VIỆT NAM,"Nhà xưởng Vĩnh Cường 3B, đường số 05, KCN An Phước, Xã An Phước, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603521449,,FALSE,
185,KH00029,CÔNG TY TNHH PAULIN VINA,"Lô K, KCN Lộc An, Bình Sơn, Xã Long An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603552888,,FALSE,
186,KH00022,CÔNG TY TNHH ILYANG OPO VIỆT NAM,"Lô D, Đường N1, Khu Công Nghiệp Lộc An, Bình Sơn, Xã Bình Sơn, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603567203,,FALSE,
187,7528,CÔNG TY TNHH QUANG DŨNG PHÁT,"Số 67, tổ 3, Kp 4, Phường An Hòa, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3603567556,,FALSE,
188,2764,CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI DỊCH VỤ AN HÙNG VƯƠNG,"Số B4, Tổ 21, Khu Phố 6, Phường Tân Tiến, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3603572764,,FALSE,
189,KH00031,CÔNG TY TNHH VIỆT NAM UMANO,"(Trong khuôn viên Công ty TNHH Vĩnh Cường) Đường số 5, KCN A, Xã An Phước, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603575042,,FALSE,
190,KH00001,CÔNG TY TNHH GWANGJIN VINA HCM,"Đường số 6, KCN An Phước (Thuê lại nhà xưởng của CôNG TY TNH, Xã An Phước, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603578861,,FALSE,
191,KH00056,CÔNG TY TNHH HWASEUNG CHEMICAL VIỆT NAM,"Đường Số 8, KCN Nhơn Trạch 1, Xã Phước Thiền, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603601951,,FALSE,
192,4670,CÔNG TY TNHH CHUNJIN VINA,"Lô M, KCN Lộc An - Bình Sơn, Xã Long An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603604670,,FALSE,
193,KH00035,CÔNG TY TNHH UZIN METAL,"Nhà xưởng số 12, Đường số 3, KCN Nhơn Trạch 2, Nhơn Phú, Xã Phú Hội, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603618391,,FALSE,
194,3271,CÔNG TY TNHH ĐẠT TIẾN HƯNG,"Tổ 03, ấp Suối Quýt, Xã Cẩm Đường, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603623271,,FALSE,
195,8417,CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU AVINA,"Số 92/77, Tổ 13, KP 5, Phường Tân Hiệp, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3603628417,,FALSE,
196,KH00066,CÔNG TY TNHH CÔNG NGHỆ SẠCH ĐỒNG NAI,"Lô A, KCN Lộc An, Bình Sơn, Xã Lộc An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603639440,,FALSE,
197,KH00027,CÔNG TY TNHH HÀ KHANH NGỌC,"Tổ 3, ấp 1B, Xã Phước Thái, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603639641,,FALSE,
198,KH00046,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TỔNG HỢP BREAK INTO,"Tổ 50, ấp 4, Xã Tam An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603655347,,FALSE,
199,KH00084,CÔNG TY TNHH TRAN - Q,"Đường Trần Phú, KCN Nhơn Trạch 3 - giai đoạn 1, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603656189,,FALSE,
200,7526,CÔNG TY CỔ PHẦN CHỐNG ĂN MÒN THIÊN LONG,"Đường kênh Bà Ký, tổ 2, KP Phước Mỹ, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603657136,,FALSE,
201,2765,CÔNG TY TNHH UNIWIN VIỆT NAM,"Đường số 1, KCN Nhơn Trạch 6, Xã Long Thọ, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603661541,,FALSE,
202,KH00057,CÔNG TY TNHH KIM LOẠI SS VIỆT NAM,"Số nhà 300 tổ 10, đường Lý Thái Tổ, ấp Phú Mỹ 1, Xã Phú Hội, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603676428,,FALSE,
203,KH00055,CÔNG TY TNHH TEK WOOD,"Tổ 3, ấp Thanh Bình, Xã Lộc An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603677679,,FALSE,
204,KH00054,CÔNG TY TNHH  HK LASER VINA,"Đường Trần Phú, Khu Công Nghiệp Nhơn Trạch II, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603682848,,FALSE,
205,5239,CÔNG TY TNHH YIN HWA SHOES LASTS VIỆT NAM,"Lô M, KCN Lộc An - Bình Sơn., Xã Long An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603685239,,FALSE,
206,KH00049,CÔNG TY TNHH NADFINLO VIỆT NAM,"Đường số 6, Khu Công nghiệp Nhơn Trạch III, Giai đoạn 2, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603687772,,FALSE,
207,6939,CÔNG TY TNHH VIỆT NAM PROGRESS INDUSTRY,"Đường số 05, KCN An Phước, Xã An Phước, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603696939,,FALSE,
208,KH00064,CÔNG TY TNHH CÔNG NGHỆ QUANG ĐIỆN WANDA VIỆT NAM,"Lô K, KCN Lộc An, Bình Sơn, Xã Long An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603698044,,FALSE,
209,9009,CÔNG TY TNHH TOPBAND SMART ĐỒNG NAI (VIỆT NAM),"Lô D, KCN Lộc An - Bình Sơn, Xã Long An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603699009,,FALSE,
210,7509,CÔNG TY TNHH CHUNG PHÁT ĐẠT,"Tổ 29, ấp Trầu, Xã Phước Thiền, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603699312,,FALSE,
211,7518,CÔNG TY TNHH NHỰA GOOD VIEW (VIỆT NAM),"Nhà xưởng 05, đường số 01, KCN Giang Điền, Xã Giang Điền, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam",,3603707355,,FALSE,
212,KH00051,CÔNG TY TNHH CÔNG NGHIỆP AEREM,"Nhà xưởng số 54, đường 1-7 (cụm xưởng cho thuê giai đoạn 4), Xã Tam An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603708849,,FALSE,
213,6171,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI MINH QUANG PHÁT,"Số 626 tổ 9, KP An Hòa., Phường An Hòa, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3603726171,,FALSE,
214,7512,CÔNG TY TNHH MEISEI ENG VIỆT NAM,"Đường N1-2, nhà xưởng cho thuê B-4, KCN Long Đức, Xã An Phước, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603726647,,FALSE,OK SÀI MÃ NÀY CHÍNH
215,7520,CÔNG TY TNHH MEISEI ENG VIỆT NAM,"Đường N1-2, nhà xưởng cho thuê B-4, KCN Long Đức, Xã An Phước, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603726647,,FALSE,CÓ CN KO XÓA ĐƯỢC
216,1118,CÔNG TY TNHH BAO BÌ THIÊN HẢI,"13A/4, ấp 1, Xã Long An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603731118,,FALSE,
217,KH00058,CÔNG TY TNHH WONIL STEEL VINA,"Đường số 3, Khu công nghiệp Long Thành, Xã Tam An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603742092,,FALSE,
218,7533,CÔNG TY TNHH MES JAPAN SÀI GÒN,"Đường số 6, Khu công nghiệp Nhơn Trạch III- giai đoạn 2, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603751509,,FALSE,
219,7536,CÔNG TY TNHH CÔNG NGHỆ THƯƠNG MẠI DỊCH VỤ LONG THỌ,"Tổ 1, ấp 4, Xã Long Thọ, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603755221,,FALSE,
220,0186,CÔNG TY TNHH TB NGUYỄN,"1013A, KP 1, Phường An Hòa, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3603780186,,FALSE,
221,9661,CÔNG TY CỔ PHẦN XÂY LẮP HTME,"Số 1 đường D, tổ 33, khu phố Long Đức 1, Phường Tam Phước, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3603789661,,FALSE,
222,7497,CÔNG TY TNHH BOVIET SERVICE TOTAL,"Số 70A, Quốc lộ 51, ấp 7, Xã An Phước, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603791558,,FALSE,
223,KH00086,CÔNG TY TNHH SUPERIEUR HEALTHCARE,"Khu công nghiệp Giang Điền, Xã Giang Điền, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam",,3603823471,,FALSE,
224,7641,CÔNG TY TNHH SẢN XUẤT JU YUAN,"Khu Công nghiệp Nhơn Trạch II, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603847641,,FALSE,
225,7499,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT DỊCH VỤ TÂN MINH TRIẾT,"Tổ 28, khu Kim Sơn, Thị trấn Long Thành, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,3603901810,,FALSE,
226,7515,CÔNG TY CỔ PHẦN CÔNG NGHỆ JWS INTERNATIONAL,"Tổ 2, Khu phố Long Đức 2, Phường Tam Phước, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,3603907876,,FALSE,
227,3950,CÔNG TY TNHH POLARC,"Đường số 10, Khu công nghiệp Nhơn Trạch 1, Xã Phước Thiền, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",,3603913950,,FALSE,
228,9173,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN DỊCH VỤ THƯƠNG MẠI ĐOÀN GIA THỊNH,"23B, Tổ 6, Khu phố 1, Phường Tân Hiệp, Thành phố Biên Hoà, Đồng Nai",,3603919173,,FALSE,
